# 类号 码点(hex) 码点(dec)
319 U+F284F 993359
320 U+F2850 993360
321 U+F2851 993361
322 U+F2852 993362
323 U+F2853 993363
324 U+F2854 993364
325 U+F2855 993365
326 U+F2856 993366
327 U+F2857 993367
328 U+F2858 993368
329 U+F2859 993369
330 U+F285A 993370
331 U+F285B 993371
332 U+F285C 993372
333 U+F285D 993373
334 U+F285E 993374
335 U+F285F 993375
336 U+F2860 993376
337 U+F2861 993377
338 U+F2862 993378
339 U+F2863 993379
340 U+F2864 993380
341 U+F2865 993381
342 U+F2866 993382
343 U+F2867 993383
344 U+F2868 993384
345 U+F2869 993385
346 U+F286A 993386
347 U+F286B 993387
348 U+F286C 993388
349 U+F286D 993389
350 U+F286E 993390
351 U+F286F 993391
352 U+F2870 993392
353 U+F2871 993393
354 U+F2872 993394
355 U+F2873 993395
356 U+F2874 993396
357 U+F2875 993397
358 U+F2876 993398
359 U+F2877 993399
360 U+F2878 993400
361 U+F2879 993401
362 U+F287A 993402
363 U+F287B 993403
364 U+F287C 993404
365 U+F287D 993405
366 U+F287E 993406
367 U+F287F 993407
368 U+F2880 993408
369 U+F2881 993409
370 U+F2882 993410
371 U+F2883 993411
372 U+F2884 993412
373 U+F2885 993413
374 U+F2886 993414
375 U+F2887 993415
376 U+F2888 993416
377 U+F2889 993417
378 U+F288A 993418
379 U+F288B 993419
380 U+F288C 993420
381 U+F288D 993421
382 U+F288E 993422
383 U+F288F 993423
384 U+F2890 993424
385 U+F2891 993425
386 U+F2892 993426
387 U+F2893 993427
388 U+F2894 993428
389 U+F2895 993429
390 U+F2896 993430
391 U+F2897 993431
392 U+F2898 993432
393 U+F2899 993433
394 U+F289A 993434
395 U+F289B 993435
396 U+F289C 993436
397 U+F289D 993437
398 U+F289E 993438
399 U+F289F 993439
400 U+F28A0 993440
401 U+F28A1 993441
402 U+F28A2 993442
403 U+F28A3 993443
404 U+F28A4 993444
405 U+F28A5 993445
406 U+F28A6 993446
407 U+F28A7 993447
408 U+F28A8 993448
409 U+F28A9 993449
410 U+F28AA 993450
411 U+F28AB 993451
412 U+F28AC 993452
413 U+F28AD 993453
414 U+F28AE 993454
415 U+F28AF 993455
416 U+F28B0 993456
417 U+F28B1 993457
418 U+F28B2 993458
419 U+F28B3 993459
420 U+F28B4 993460
421 U+F28B5 993461
422 U+F28B6 993462
423 U+F28B7 993463
424 U+F28B8 993464
425 U+F28B9 993465
426 U+F28BA 993466
427 U+F28BB 993467
428 U+F28BC 993468
429 U+F28BD 993469
430 U+F28BE 993470
431 U+F28BF 993471
432 U+F28C0 993472
433 U+F28C1 993473
434 U+F28C2 993474
435 U+F28C3 993475
436 U+F28C4 993476
437 U+F28C5 993477
438 U+F28C6 993478
439 U+F28C7 993479
440 U+F28C8 993480
441 U+F28C9 993481
442 U+F28CA 993482
443 U+F28CB 993483
444 U+F28CC 993484
445 U+F28CD 993485
446 U+F28CE 993486
447 U+F28CF 993487
448 U+F28D0 993488
449 U+F28D1 993489
450 U+F28D2 993490
451 U+F28D3 993491
452 U+F28D4 993492
453 U+F28D5 993493
454 U+F28D6 993494
455 U+F28D7 993495
456 U+F28D8 993496
457 U+F28D9 993497
458 U+F28DA 993498
459 U+F28DB 993499
460 U+F28DC 993500
461 U+F28DD 993501
462 U+F28DE 993502
463 U+F28DF 993503
464 U+F28E0 993504
465 U+F28E1 993505
466 U+F28E2 993506
467 U+F28E3 993507
468 U+F28E4 993508
469 U+F28E5 993509
470 U+F28E6 993510
471 U+F28E7 993511
472 U+F28E8 993512
473 U+F28E9 993513
474 U+F28EA 993514
475 U+F28EB 993515
476 U+F28EC 993516
477 U+F28ED 993517
478 U+F28EE 993518
479 U+F28EF 993519
480 U+F28F0 993520
481 U+F28F1 993521
482 U+F28F2 993522
483 U+F28F3 993523
484 U+F28F4 993524
485 U+F28F5 993525
486 U+F28F6 993526
487 U+F28F7 993527
488 U+F28F8 993528
489 U+F28F9 993529
490 U+F28FA 993530
491 U+F28FB 993531
492 U+F28FC 993532
493 U+F28FD 993533
494 U+F28FE 993534
495 U+F28FF 993535
496 U+F2900 993536
497 U+F2901 993537
498 U+F2902 993538
499 U+F2903 993539
500 U+F2904 993540
501 U+F2905 993541
502 U+F2906 993542
503 U+F2907 993543
504 U+F2908 993544
505 U+F2909 993545
506 U+F290A 993546
507 U+F290B 993547
508 U+F290C 993548
509 U+F290D 993549
510 U+F290E 993550
511 U+F290F 993551
512 U+F2910 993552
513 U+F2911 993553
514 U+F2912 993554
515 U+F2913 993555
516 U+F2914 993556
517 U+F2915 993557
518 U+F2916 993558
519 U+F2917 993559
520 U+F2918 993560
521 U+F2919 993561
522 U+F291A 993562
523 U+F291B 993563
524 U+F291C 993564
525 U+F291D 993565
526 U+F291E 993566
527 U+F291F 993567
528 U+F2920 993568
529 U+F2921 993569
530 U+F2922 993570
531 U+F2923 993571
532 U+F2924 993572
533 U+F2925 993573
534 U+F2926 993574
535 U+F2927 993575
536 U+F2928 993576
537 U+F2929 993577
538 U+F292A 993578
539 U+F292B 993579
540 U+F292C 993580
541 U+F292D 993581
542 U+F292E 993582
543 U+F292F 993583
544 U+F2930 993584
545 U+F2931 993585
546 U+F2932 993586
547 U+F2933 993587
548 U+F2934 993588
549 U+F2935 993589
550 U+F2936 993590
551 U+F2937 993591
552 U+F2938 993592
553 U+F2939 993593
554 U+F293A 993594
555 U+F293B 993595
556 U+F293C 993596
557 U+F293D 993597
558 U+F293E 993598
559 U+F293F 993599
560 U+F2940 993600
561 U+F2941 993601
562 U+F2942 993602
563 U+F2943 993603
564 U+F2944 993604
565 U+F2945 993605
566 U+F2946 993606
567 U+F2947 993607
568 U+F2948 993608
569 U+F2949 993609
570 U+F294A 993610
571 U+F294B 993611
572 U+F294C 993612
573 U+F294D 993613
574 U+F294E 993614
575 U+F294F 993615
576 U+F2950 993616
577 U+F2951 993617
578 U+F2952 993618
579 U+F2953 993619
580 U+F2954 993620
581 U+F2955 993621
582 U+F2956 993622
583 U+F2957 993623
584 U+F2958 993624
585 U+F2959 993625
586 U+F295A 993626
587 U+F295B 993627
588 U+F295C 993628
589 U+F295D 993629
590 U+F295E 993630
591 U+F295F 993631
592 U+F2960 993632
593 U+F2961 993633
594 U+F2962 993634
595 U+F2963 993635
596 U+F2964 993636
597 U+F2965 993637
598 U+F2966 993638
599 U+F2967 993639
600 U+F2968 993640
601 U+F2969 993641
602 U+F296A 993642
603 U+F296B 993643
604 U+F296C 993644
605 U+F296D 993645
606 U+F296E 993646
607 U+F296F 993647
608 U+F2970 993648
609 U+F2971 993649
610 U+F2972 993650
611 U+F2973 993651
612 U+F2974 993652
613 U+F2975 993653
614 U+F2976 993654
615 U+F2977 993655
616 U+F2978 993656
617 U+F2979 993657
618 U+F297A 993658
619 U+F297B 993659
620 U+F297C 993660
621 U+F297D 993661
622 U+F297E 993662
623 U+F297F 993663
624 U+F2980 993664
625 U+F2981 993665
626 U+F2982 993666
627 U+F2983 993667
628 U+F2984 993668
629 U+F2985 993669
630 U+F2986 993670
631 U+F2987 993671
632 U+F2988 993672
633 U+F2989 993673
634 U+F298A 993674
635 U+F298B 993675
636 U+F298C 993676
637 U+F298D 993677
638 U+F298E 993678
639 U+F298F 993679
640 U+F2990 993680
641 U+F2991 993681
642 U+F2992 993682
643 U+F2993 993683
644 U+F2994 993684
645 U+F2995 993685
646 U+F2996 993686
647 U+F2997 993687
648 U+F2998 993688
649 U+F2999 993689
650 U+F299A 993690
651 U+F299B 993691
652 U+F299C 993692
653 U+F299D 993693
654 U+F299E 993694
655 U+F299F 993695
656 U+F29A0 993696
657 U+F29A1 993697
658 U+F29A2 993698
659 U+F29A3 993699
660 U+F29A4 993700
661 U+F29A5 993701
662 U+F29A6 993702
663 U+F29A7 993703
664 U+F29A8 993704
665 U+F29A9 993705
666 U+F29AA 993706
667 U+F29AB 993707
668 U+F29AC 993708
669 U+F29AD 993709
670 U+F29AE 993710
671 U+F29AF 993711
672 U+F29B0 993712
673 U+F29B1 993713
674 U+F29B2 993714
675 U+F29B3 993715
676 U+F29B4 993716
677 U+F29B5 993717
678 U+F29B6 993718
679 U+F29B7 993719
680 U+F29B8 993720
681 U+F29B9 993721
682 U+F29BA 993722
683 U+F29BB 993723
684 U+F29BC 993724
685 U+F29BD 993725
686 U+F29BE 993726
687 U+F29BF 993727
688 U+F29C0 993728
689 U+F29C1 993729
690 U+F29C2 993730
691 U+F29C3 993731
692 U+F29C4 993732
693 U+F29C5 993733
694 U+F29C6 993734
695 U+F29C7 993735
696 U+F29C8 993736
697 U+F29C9 993737
698 U+F29CA 993738
699 U+F29CB 993739
700 U+F29CC 993740
701 U+F29CD 993741
702 U+F29CE 993742
703 U+F29CF 993743
704 U+F29D0 993744
705 U+F29D1 993745
706 U+F29D2 993746
707 U+F29D3 993747
708 U+F29D4 993748
709 U+F29D5 993749
710 U+F29D6 993750
711 U+F29D7 993751
712 U+F29D8 993752
713 U+F29D9 993753
714 U+F29DA 993754
715 U+F29DB 993755
716 U+F29DC 993756
717 U+F29DD 993757
718 U+F29DE 993758
719 U+F29DF 993759
720 U+F29E0 993760
721 U+F29E1 993761
722 U+F29E2 993762
723 U+F29E3 993763
724 U+F29E4 993764
725 U+F29E5 993765
726 U+F29E6 993766
727 U+F29E7 993767
728 U+F29E8 993768
729 U+F29E9 993769
730 U+F29EA 993770
731 U+F29EB 993771
732 U+F29EC 993772
733 U+F29ED 993773
734 U+F29EE 993774
735 U+F29EF 993775
736 U+F29F0 993776
737 U+F29F1 993777
738 U+F29F2 993778
739 U+F29F3 993779
740 U+F29F4 993780
741 U+F29F5 993781
742 U+F29F6 993782
743 U+F29F7 993783
744 U+F29F8 993784
745 U+F29F9 993785
746 U+F29FA 993786
747 U+F29FB 993787
748 U+F29FC 993788
749 U+F29FD 993789
750 U+F29FE 993790
751 U+F29FF 993791
752 U+F2A00 993792
753 U+F2A01 993793
754 U+F2A02 993794
755 U+F2A03 993795
756 U+F2A04 993796
757 U+F2A05 993797
758 U+F2A06 993798
759 U+F2A07 993799
760 U+F2A08 993800
761 U+F2A09 993801
762 U+F2A0A 993802
763 U+F2A0B 993803
764 U+F2A0C 993804
765 U+F2A0D 993805
766 U+F2A0E 993806
767 U+F2A0F 993807
768 U+F2A10 993808
769 U+F2A11 993809
770 U+F2A12 993810
771 U+F2A13 993811
772 U+F2A14 993812
773 U+F2A15 993813
774 U+F2A16 993814
775 U+F2A17 993815
776 U+F2A18 993816
777 U+F2A19 993817
778 U+F2A1A 993818
779 U+F2A1B 993819
780 U+F2A1C 993820
781 U+F2A1D 993821
782 U+F2A1E 993822
783 U+F2A1F 993823
784 U+F2A20 993824
785 U+F2A21 993825
786 U+F2A22 993826
787 U+F2A23 993827
788 U+F2A24 993828
789 U+F2A25 993829
790 U+F2A26 993830
791 U+F2A27 993831
792 U+F2A28 993832
793 U+F2A29 993833
794 U+F2A2A 993834
795 U+F2A2B 993835
796 U+F2A2C 993836
797 U+F2A2D 993837
798 U+F2A2E 993838
799 U+F2A2F 993839
800 U+F2A30 993840
801 U+F2A31 993841
802 U+F2A32 993842
803 U+F2A33 993843
804 U+F2A34 993844
805 U+F2A35 993845
806 U+F2A36 993846
807 U+F2A37 993847
808 U+F2A38 993848
809 U+F2A39 993849
810 U+F2A3A 993850
811 U+F2A3B 993851
812 U+F2A3C 993852
813 U+F2A3D 993853
814 U+F2A3E 993854
815 U+F2A3F 993855
816 U+F2A40 993856
817 U+F2A41 993857
818 U+F2A42 993858
819 U+F2A43 993859
820 U+F2A44 993860
821 U+F2A45 993861
822 U+F2A46 993862
823 U+F2A47 993863
824 U+F2A48 993864
825 U+F2A49 993865
826 U+F2A4A 993866
827 U+F2A4B 993867
828 U+F2A4C 993868
829 U+F2A4D 993869
830 U+F2A4E 993870
831 U+F2A4F 993871
832 U+F2A50 993872
833 U+F2A51 993873
834 U+F2A52 993874
835 U+F2A53 993875
836 U+F2A54 993876
837 U+F2A55 993877
838 U+F2A56 993878
839 U+F2A57 993879
840 U+F2A58 993880
841 U+F2A59 993881
842 U+F2A5A 993882
843 U+F2A5B 993883
844 U+F2A5C 993884
845 U+F2A5D 993885
846 U+F2A5E 993886
847 U+F2A5F 993887
848 U+F2A60 993888
849 U+F2A61 993889
850 U+F2A62 993890
851 U+F2A63 993891
852 U+F2A64 993892
853 U+F2A65 993893
854 U+F2A66 993894
855 U+F2A67 993895
856 U+F2A68 993896
857 U+F2A69 993897
858 U+F2A6A 993898
859 U+F2A6B 993899
860 U+F2A6C 993900
861 U+F2A6D 993901
862 U+F2A6E 993902
863 U+F2A6F 993903
864 U+F2A70 993904
865 U+F2A71 993905
866 U+F2A72 993906
867 U+F2A73 993907
868 U+F2A74 993908
869 U+F2A75 993909
870 U+F2A76 993910
871 U+F2A77 993911
872 U+F2A78 993912
873 U+F2A79 993913
874 U+F2A7A 993914
875 U+F2A7B 993915
876 U+F2A7C 993916
877 U+F2A7D 993917
878 U+F2A7E 993918
879 U+F2A7F 993919
880 U+F2A80 993920
881 U+F2A81 993921
882 U+F2A82 993922
883 U+F2A83 993923
884 U+F2A84 993924
885 U+F2A85 993925
886 U+F2A86 993926
887 U+F2A87 993927
888 U+F2A88 993928
889 U+F2A89 993929
890 U+F2A8A 993930
891 U+F2A8B 993931
892 U+F2A8C 993932
893 U+F2A8D 993933
894 U+F2A8E 993934
895 U+F2A8F 993935
896 U+F2A90 993936
897 U+F2A91 993937
898 U+F2A92 993938
899 U+F2A93 993939
900 U+F2A94 993940
901 U+F2A95 993941
902 U+F2A96 993942
903 U+F2A97 993943
904 U+F2A98 993944
905 U+F2A99 993945
906 U+F2A9A 993946
907 U+F2A9B 993947
908 U+F2A9C 993948
909 U+F2A9D 993949
910 U+F2A9E 993950
911 U+F2A9F 993951
912 U+F2AA0 993952
913 U+F2AA1 993953
914 U+F2AA2 993954
915 U+F2AA3 993955
916 U+F2AA4 993956
917 U+F2AA5 993957
918 U+F2AA6 993958
919 U+F2AA7 993959
920 U+F2AA8 993960
921 U+F2AA9 993961
922 U+F2AAA 993962
923 U+F2AAB 993963
924 U+F2AAC 993964
925 U+F2AAD 993965
926 U+F2AAE 993966
927 U+F2AAF 993967
928 U+F2AB0 993968
929 U+F2AB1 993969
930 U+F2AB2 993970
931 U+F2AB3 993971
932 U+F2AB4 993972
933 U+F2AB5 993973
934 U+F2AB6 993974
935 U+F2AB7 993975
936 U+F2AB8 993976
937 U+F2AB9 993977
938 U+F2ABA 993978
939 U+F2ABB 993979
940 U+F2ABC 993980
941 U+F2ABD 993981
942 U+F2ABE 993982
943 U+F2ABF 993983
944 U+F2AC0 993984
945 U+F2AC1 993985
946 U+F2AC2 993986
947 U+F2AC3 993987
948 U+F2AC4 993988
949 U+F2AC5 993989
950 U+F2AC6 993990
951 U+F2AC7 993991
952 U+F2AC8 993992
953 U+F2AC9 993993
954 U+F2ACA 993994
955 U+F2ACB 993995
956 U+F2ACC 993996
957 U+F2ACD 993997
958 U+F2ACE 993998
959 U+F2ACF 993999
960 U+F2AD0 994000
961 U+F2AD1 994001
962 U+F2AD2 994002
963 U+F2AD3 994003
964 U+F2AD4 994004
965 U+F2AD5 994005
966 U+F2AD6 994006
967 U+F2AD7 994007
968 U+F2AD8 994008
969 U+F2AD9 994009
970 U+F2ADA 994010
971 U+F2ADB 994011
972 U+F2ADC 994012
973 U+F2ADD 994013
974 U+F2ADE 994014
975 U+F2ADF 994015
976 U+F2AE0 994016
977 U+F2AE1 994017
978 U+F2AE2 994018
979 U+F2AE3 994019
980 U+F2AE4 994020
981 U+F2AE5 994021
982 U+F2AE6 994022
983 U+F2AE7 994023
984 U+F2AE8 994024
985 U+F2AE9 994025
986 U+F2AEA 994026
987 U+F2AEB 994027
988 U+F2AEC 994028
989 U+F2AED 994029
990 U+F2AEE 994030
991 U+F2AEF 994031
992 U+F2AF0 994032
993 U+F2AF1 994033
994 U+F2AF2 994034
995 U+F2AF3 994035
996 U+F2AF4 994036
997 U+F2AF5 994037
998 U+F2AF6 994038
999 U+F2AF7 994039
1000 U+F2AF8 994040
1001 U+F2AF9 994041
1002 U+F2AFA 994042
1003 U+F2AFB 994043
1004 U+F2AFC 994044
1005 U+F2AFD 994045
1006 U+F2AFE 994046
1007 U+F2AFF 994047
1008 U+F2B00 994048
1009 U+F2B01 994049
1010 U+F2B02 994050
1011 U+F2B03 994051
1012 U+F2B04 994052
1013 U+F2B05 994053
1014 U+F2B06 994054
1015 U+F2B07 994055
1016 U+F2B08 994056
1017 U+F2B09 994057
1018 U+F2B0A 994058
1019 U+F2B0B 994059
1020 U+F2B0C 994060
1021 U+F2B0D 994061
1022 U+F2B0E 994062
1023 U+F2B0F 994063
1024 U+F2B10 994064
1025 U+F2B11 994065
1026 U+F2B12 994066
1027 U+F2B13 994067
1028 U+F2B14 994068
1029 U+F2B15 994069
1030 U+F2B16 994070
1031 U+F2B17 994071
1032 U+F2B18 994072
1033 U+F2B19 994073
1034 U+F2B1A 994074
1035 U+F2B1B 994075
1036 U+F2B1C 994076
1037 U+F2B1D 994077
1038 U+F2B1E 994078
1039 U+F2B1F 994079
1040 U+F2B20 994080
1041 U+F2B21 994081
1042 U+F2B22 994082
1043 U+F2B23 994083
1044 U+F2B24 994084
1045 U+F2B25 994085
1046 U+F2B26 994086
1047 U+F2B27 994087
1048 U+F2B28 994088
1049 U+F2B29 994089
1050 U+F2B2A 994090
1051 U+F2B2B 994091
1052 U+F2B2C 994092
1053 U+F2B2D 994093
1054 U+F2B2E 994094
1055 U+F2B2F 994095
1056 U+F2B30 994096
1057 U+F2B31 994097
1058 U+F2B32 994098
1059 U+F2B33 994099
1060 U+F2B34 994100
1061 U+F2B35 994101
1062 U+F2B36 994102
1063 U+F2B37 994103
1064 U+F2B38 994104
1065 U+F2B39 994105
1066 U+F2B3A 994106
1067 U+F2B3B 994107
1068 U+F2B3C 994108
1069 U+F2B3D 994109
1070 U+F2B3E 994110
1071 U+F2B3F 994111
1072 U+F2B40 994112
1073 U+F2B41 994113
1074 U+F2B42 994114
1075 U+F2B43 994115
1076 U+F2B44 994116
1077 U+F2B45 994117
1078 U+F2B46 994118
1079 U+F2B47 994119
1080 U+F2B48 994120
1081 U+F2B49 994121
1082 U+F2B4A 994122
1083 U+F2B4B 994123
1084 U+F2B4C 994124
1085 U+F2B4D 994125
1086 U+F2B4E 994126
1087 U+F2B4F 994127
1088 U+F2B50 994128
1089 U+F2B51 994129
1090 U+F2B52 994130
1091 U+F2B53 994131
1092 U+F2B54 994132
1093 U+F2B55 994133
1094 U+F2B56 994134
1095 U+F2B57 994135
1096 U+F2B58 994136
1097 U+F2B59 994137
1098 U+F2B5A 994138
1099 U+F2B5B 994139
1100 U+F2B5C 994140
1101 U+F2B5D 994141
1102 U+F2B5E 994142
1103 U+F2B5F 994143
1104 U+F2B60 994144
1105 U+F2B61 994145
1106 U+F2B62 994146
1107 U+F2B63 994147
1108 U+F2B64 994148
1109 U+F2B65 994149
1110 U+F2B66 994150
1111 U+F2B67 994151
1112 U+F2B68 994152
1113 U+F2B69 994153
1114 U+F2B6A 994154
1115 U+F2B6B 994155
1116 U+F2B6C 994156
1117 U+F2B6D 994157
1118 U+F2B6E 994158
1119 U+F2B6F 994159
1120 U+F2B70 994160
1121 U+F2B71 994161
1122 U+F2B72 994162
1123 U+F2B73 994163
1124 U+F2B74 994164
1125 U+F2B75 994165
1126 U+F2B76 994166
1127 U+F2B77 994167
1128 U+F2B78 994168
1129 U+F2B79 994169
1130 U+F2B7A 994170
1131 U+F2B7B 994171
1132 U+F2B7C 994172
1133 U+F2B7D 994173
1134 U+F2B7E 994174
1135 U+F2B7F 994175
1136 U+F2B80 994176
1137 U+F2B81 994177
1138 U+F2B82 994178
1139 U+F2B83 994179
1140 U+F2B84 994180
1141 U+F2B85 994181
1142 U+F2B86 994182
1143 U+F2B87 994183
1144 U+F2B88 994184
1145 U+F2B89 994185
1146 U+F2B8A 994186
1147 U+F2B8B 994187
1148 U+F2B8C 994188
1149 U+F2B8D 994189
1150 U+F2B8E 994190
1151 U+F2B8F 994191
1152 U+F2B90 994192
1153 U+F2B91 994193
1154 U+F2B92 994194
1155 U+F2B93 994195
1156 U+F2B94 994196
1157 U+F2B95 994197
1158 U+F2B96 994198
1159 U+F2B97 994199
1160 U+F2B98 994200
1161 U+F2B99 994201
1162 U+F2B9A 994202
1163 U+F2B9B 994203
1164 U+F2B9C 994204
1165 U+F2B9D 994205
1166 U+F2B9E 994206
1167 U+F2B9F 994207
1168 U+F2BA0 994208
