# QEntL 3-Epoch Training Report
# Date: 2026-07-03T03:23:33+08:00
# Circuits: 21
#
| Circuit | Epoch | Cycles | Gates | Status |
| QEntL/Models/Ref/ref_monitoring_circuit.qbc | Models/Ref | 144 | 144 | 0 |
| QEntL/Models/Ref/ref_optimization_circuit.qbc | Models/Ref | 141 | 141 | 0 |
| QEntL/Models/SOM/som_transaction_circuit.qbc | Models/SOM | 132 | 132 | 0 |
| QEntL/Models/SOM/som_entry.qbc | Models/SOM | 66 | 66 | 0 |
| QEntL/Models/WeQ/weq_entry.qbc | Models/WeQ | 66 | 66 | 0 |
| QEntL/Models/WeQ/weq_learning_circuit.qbc | Models/WeQ | 102 | 102 | 0 |
| QEntL/Models/WeQ/weq_social_interaction_circuit.qbc | Models/WeQ | 189 | 189 | 0 |
| QEntL/Models/Models_QNS_Integration_Test.qbc | Other | 264 | 264 | 0 |
| QEntL/System/Kernel/filesystem/grover_search_circuit.qbc | System/Kernel/filesystem | 153 | 153 | 0 |
| QEntL/System/Kernel/filesystem/qdfs_quantum_circuit.qbc | System/Kernel/filesystem | 123 | 123 | 0 |
| QEntL/System/Kernel/neural/qns_backprop_circuit.qbc | System/Kernel/neural | 195 | 195 | 0 |
| QEntL/System/Kernel/neural/qns_training_circuit.qbc | System/Kernel/neural | 114 | 114 | 0 |
| QEntL/System/Kernel/qns_qdfs_dataflow.qbc | Other | 114 | 114 | 0 |
| QEntL/System/Kernel/qns_qdfs_reverse_flow_circuit.qbc | Other | 168 | 168 | 0 |

## Per-Model Summary
| Model | Runs | Cycles | Gates | Fails |
|-------|------|--------|-------|-------|
| Models/QSM | 15 | 609 | 609 | 0 |
| Models/SOM | 6 | 198 | 198 | 0 |
| Models/WeQ | 9 | 357 | 357 | 0 |
| Models/Ref | 12 | 540 | 540 | 0 |
| System/Kernel/neural | 6 | 309 | 309 | 0 |
| System/Kernel/filesystem | 6 | 276 | 276 | 0 |
| Other | 9 | 546 | 546 | 0 |

## Totals
Total circuits: 21
Total runs (epochs): 63
Total cycles: 2835
Total gates: 2835
Total failures: 0
