序号,彝文,中文,英文
70,󲝕,1、钻（孔）；2、穿（孔）；,"1. drill, bore(孔) ; 2. pierce, penetrate(孔) ; "
71,󲝖,土蚕子,earthworm
72,󲝗,制度,"system, institution"
73,󲝘,白杨树,poplar tree
74,󲝙,向（祖宗祝告）,向 (祖宗祝告)
75,󲝚,鹰,eagle
76,󲝛,1、寒，冷；2；失望,"1, cold, cold; 2; disappointed"
77,󲝜,管，筒,"tube, pipe, tube, cylinder"
78,󲝝,（递给东西的）发音词,(递给东西的) 发音词
79,󲝞,1、玩；2、耍；,"1. play; 2. play, fool around; "
80,󲝟,摇动,"shake, rock"
81,󲝠,1、锯；2、割；,"1. saw, cut; 2. cut, reap; "
82,󲝡,右,right
83,󲝢,凹,concave
84,󲝣,认真,"serious, earnest"
85,󲝤,笔管草（节节草）,"笔tube, pipegrass (节节grass)"
86,󲝥,1、（绵羊）毛；2、棉；,"1. (sheep) hair, wool; 2. cotton; "
87,󲝦,蹲,"squat, crouch"
88,󲝧,野葱（苦蒜）,wild onion (bitter garlic)
89,󲝨,丰盛,"abundant, rich"
90,󲝩,松球,pine cone
91,󲝪,葵花,sunflower
92,󲝫,麻（味）,"hemp, numb (味)"
93,󲝬,纱（线）,"gauze, yarn (thread, line)"
94,󲝭,像、相同,"like, similar, same, identical"
95,󲝮,额头,forehead
96,󲝯,晒,"dry in sun, expose"
97,󲝰,行走,"walk, travel"
98,󲝱,承受,"bear, endure"
99,󲝲,开（车）,"drive, operate (车)"
100,󲝳,土茯苓,smilax
101,󲝴,松弛,"loose, relaxed"
102,󲝵,1、耕；2、庄稼（古语，耕牧）,"1. plow, cultivate; 2. crops (ancient saying, plow, cultivate牧)"
103,󲝶,叛,"rebel, betray"
104,󲝷,萌（发），萌（芽）,"sprout, bud(发) , sprout, bud (芽)"
105,󲝸,（粉）末，面,"(powder) powder, end, face, surface"
106,󲝹,稗,barnyard grass
107,󲝺,（形容词缀）,（形容词缀）
108,󲝻,流（星）,"flow, stream (star)"
109,󲝼,1、豹；2、狼；,1. leopard; 2. wolf; 
110,󲝽,1、光；2、闪亮；,1. light; 2. 闪亮; 
111,󲝾,起疹子,"rise, get up疹子"
112,󲝿,山楂鸟,hawthorn bird
113,󲞀,歧（视），鄙（视）,"歧(视) , 鄙 (视)"
114,󲞁,轻快,"light, quick"
115,󲞂,成活,"survive, take root"
116,󲞃,（溜）滑,"(slip, slide) smooth, slippery"
117,󲞄,地名，彝语专用名词用词,"place name, 彝语专用名词用词"
118,󲞅,传递,"pass, transmit"
119,󲞆,恨,"hate, resent"
120,󲞇,（手）镯,(hand) bracelet
121,󲞈,蜘蛛,spider
122,󲞉,纽扣,button
123,󲞊,稳当,"steady, stable"
124,󲞋,清洁,"clean, sanitary"
125,󲞌,蒿枝,wormwood branch
126,󲞍,1、（连续不断）；2、笑呵呵,1. (continuous) ; 2. laughing happily
127,󲞎,添补,"add, supplement"
128,󲞏,水蒸气,"steam, water vapor"
129,󲞐,犀（牛）,"rhinoceros (cow, ox)"
130,󲞑,（手）巧,"(hand) skillful, clever"
131,󲞒,（人多）拥挤,"(person, people多) crowded"
132,󲞓,增添,"add, increase"
133,󲞔,（重叠词缀）,（overlapping词缀）
134,󲞕,箍,"hoop, ring"
135,󲞖,沉淀物,"沉淀object, thing"
136,󲞗,1、雄性（禽类）；2、地名用词,"1. male(poultry, birds) ; 2. place name用词"
137,󲞘,墙,wall
138,󲞙,搂（卷）,"embrace, hug (curl, roll)"
139,󲞚,麻木,"hemp, numbwood"
140,󲞛,小跑，慢跑,"trot, jog, jog slowly"
141,󲞜,1、君；2、人名用词,"1. lord, ruler; 2. person, people名用词"
142,󲞝,条,"strip, item"
143,󲞞,1、和睦，友好；2、爱好,"1. harmonious, friendly; 2. hobby, interest"
144,󲞟,（牛犁）担,"(cow, ox犁) shoulder pole"
145,󲞠,向后仰,lean back
146,󲞡,（牲畜在野外）吃草；,"(livestock在outdoors, wild) graze; "
147,󲞢,谎,"lie, falsehood"
148,󲞣,1、甲（天干第一位）；2、人名用词；,"1. armor, first(heavenly stem第one位) ; 2. person, people名用词; "
149,󲞤,升,"rise, ascend"
150,󲞥,悬挂,"hang, suspend"
151,󲞦,连接,connection
152,󲞧,凑在一起,"凑在onerise, get up"
153,󲞨,镰刀,sickle
154,󲞩,1、边（方位词）；2、方（面）,"1. edge, side(square, direction位词) ; 2. square, direction (face, surface)"
155,󲞪,噗（象声词）,噗 (onomatopoeia)
156,󲞫,面（颊）,"face, surface (cheek)"
157,󲞬,果断,"decisive, resolute"
158,󲞭,天,"sky, heaven"
159,󲞮,火,fire
160,󲞯,穿（衣）（使动）,"pierce, penetrate(衣)  (使动)"
161,󲞰,王,king
162,󲞱,（蚱蜢）,（grasshopper）
163,󲞲,（板栗）,（chestnut）
164,󲞳,（二）十,(two) ten
165,󲞴,1、晴；2、太阳神；,"1. sunny, clear; 2. sun god; "
166,󲞵,1、人；2、他们；3、（领导）,"1. person, people; 2. they, them; 3,  (leader)"
167,󲞶,丛、簇；,"cluster, grove, cluster, bunch; "
168,󲞷,蛾子,moth
169,󲞸,下，降；,"descend, go down, fall, drop; "
170,󲞹,兄,elder brother
171,󲞺,1、抵、顶、撑；2、支持；,"1. resist, support, top, support, prop up, support; 2. support; "
172,󲞻,害羞,"shy, bashful"
173,󲞼,1、争夺；2、歪曲（语意）；,"1. compete, fight for; 2. distort, twist(语意) ; "
174,󲞽,埋（葬）,"bury (bury, inter)"
175,󲞾,就丛,"就cluster, grove"
176,󲞿,单、独,"single, alone, alone, solitary"
177,󲟀,晃荡,"sway, rock"
178,󲟁,搾（张开大拇指和中指两端的长度）,"搾 (张drive, operatebig, large拇point, indicate和中point, indicate两端的长度)"
179,󲟂,（魔芋）,（konjac）
180,󲟃,祖母，奶奶,"grandmother, grandma"
181,󲟄,1、产（生）；2、壬（天干第九位）；3、人名用词,"1. 产(生) ; 2. ninth heavenly stem(heavenly stem第nine位) ; 3, person, people名用词"
182,󲟅,纯净,"pure, clean"
183,󲟆,缝（动词）,"sew, stitch (动词)"
184,󲟇,络绎不绝,in endless stream
185,󲟈,(起）泡,"(rise, get up）泡"
186,󲟉,火草,firegrass
187,󲟊,涂、抹、敷,"apply, smear, wipe, apply, apply, spread"
188,󲟋,大后天,"big, large后sky, heaven"
189,󲟌,宽,"wide, broad"
190,󲟍,祷告,pray
191,󲟎,脱（落）,"shed, fall off (fall, drop)"
192,󲟏,幼,young
193,󲟐,源,源
194,󲟑,1、跟、随、伴；2、侍从，部下,"1. follow, follow, accompany, accompany; 2. 侍从, 部descend, go down"
195,󲟒,相信,"believe, trust"
196,󲟓,绞痛,绞痛
197,󲟔,酒,"wine, alcohol"
198,󲟕,沾（泥巴）,"stick to, get stained (mud)"
199,󲟖,拧、扭（紧）,"twist, wring, twist, turn (紧)"
200,󲟗,1、前、首先、开始；2，先前；3、事先；,"1, 前, 首先, drive, operate始; 2, 先前; 3, 事先; "
201,󲟘,（睡）觉,(睡) 觉
202,󲟙,瞎,瞎
203,󲟚,坐,坐
204,󲟛,（虫）,（虫）
205,󲟜,（菜）刀,(菜) 刀
206,󲟝,声明,声明
207,󲟞,1、会；2、工匠,1. 会; 2. 工匠
208,󲟟,背部,背部
209,󲟠,威望,威望
210,󲟡,绝（种）,绝 (种)
211,󲟢,菜苔,菜苔
212,󲟣,矛,矛
213,󲟤,草果,grass果
214,󲟥,（词头）阿,(词头) 阿
215,󲟦,（因）为,(因) 为
216,󲟧,1、土目（土司管辖下的头目）；2、官（家）；,"1. 土目(土司tube, pipe辖descend, go down的头目) ; 2. 官(家) ; "
217,󲟨,（被高温汽水）熏烫,(被高温汽水) 熏烫
218,󲟩,突然,突然
219,󲟪,背（背物（使动））,"背(背object, thing (使动) )"
220,󲟫,丙（天干的第三位）,丙 (heavenly stem的第three位)
221,󲟬,下巴,"descend, go down巴"
222,󲟭,1、（食用肉的前缀词素）；2、喜鹊；,1. (食用肉的前缀词素) ; 2. 喜鹊; 
223,󲟮,（大口）吃,"(big, large口) 吃"
224,󲟯,论(说）,论(说）
225,󲟰,雄性（泛指家畜）,"male (泛point, indicate家畜)"
226,󲟱,1、神位；2、（肺）；,1. 神位; 2. (肺) ; 
227,󲟲,半,半
228,󲟳,戏弄，逗乐,"戏弄, 逗乐"
229,󲟴,（墙壁的）洞眼,(wall壁的) 洞eye
230,󲟵,可惜,可惜
231,󲟶,1、坤（卦）；2、人名用词,"1. 坤(卦) ; 2. person, people名用词"
232,󲟷,（不）止，（不）仅,"(不) 止, (不) 仅"
233,󲟸,鸣、叫,"鸣, 叫"
234,󲟹,泥土,泥土
235,󲟺,1、高；2、人名用词,"1. 高; 2. person, people名用词"
236,󲟻,岩,岩
237,󲟼,分（动词）,分 (动词)
238,󲟽,责任,责任
239,󲟾,傍晚,傍晚
240,󲟿,瞄准,瞄准
241,󲠀,戳,戳
242,󲠁,（捆）把,(捆) 把
243,󲠂,并排,并排
244,󲠃,韭菜,韭菜
245,󲠄,1、碎；2、自己的,1. 碎; 2. 自己的
246,󲠅,斧头,斧头
247,󲠆,1、一下；2、稍微；,"1. onedescend, go down; 2. 稍微; "
248,󲠇,胡须,胡须
249,󲠈,乙（天干第二位）,乙 (heavenly stem第two位)
250,󲠉,滴（水）,滴 (水)
251,󲠊,灵活,灵活
252,󲠋,主人,"主person, people"
253,󲠌,哪,哪
254,󲠍,钱（量词）,钱 (量词)
255,󲠎,1、走；2、走（了）；,1. 走; 2. 走(了) ; 
256,󲠏,1、抚育；2、渐渐；3、殷殷；,"1. 抚育; 2. 渐渐; 3, 殷殷; "
257,󲠐,（油）腻,(油) 腻
258,󲠑,很、大、最、更、极,"很, big, large, 最, 更, 极"
259,󲠒,彗星,彗star
260,󲠓,（像啄木鸟啄树声）,"（like, similar啄wood鸟啄树声）"
261,󲠔,擀,擀
262,󲠕,考虑,考虑
263,󲠖,准备、预备,"准备, 预备"
264,󲠗,（箭）头,(箭) 头
265,󲠘,1、叙述、发表；2、讲、讲述；,"1. 叙述, 发表; 2. 讲, 讲述; "
266,󲠙,（昌）盛,(昌) 盛
267,󲠚,涨,涨
268,󲠛,1、毒（名词）；2、草乌；3、巴豆；4、（半夏）,"1. 毒(名词) ; 2. grass乌; 3, 巴豆; 4,  (半夏)"
269,󲠜,（猫、狗的）白花前肢,"(猫, 狗的) 白花前肢"
270,󲠝,（蚯蚓）,（蚯蚓）
271,󲠞,乃（是）,乃 (是)
272,󲠟,稠密,稠密
273,󲠠,1、肥沃；2、（后）年,1. 肥沃; 2. (后) 年
274,󲠡,1、呢（语气助词）；2、（那么）,1. 呢(modal particle) ; 2.  (那么)
275,󲠢,1、（毛发乱）、（汗毛）,"1, (hair, wool发乱) ,  (汗hair, wool)"
276,󲠣,雾（霭）,雾 (霭)
277,󲠤,姐姐,姐姐
278,󲠥,再生（作物）,"再生 (作object, thing)"
279,󲠦,1、（兔子）；2、卯（地支的第四位）；,"1. (rabbit) ; 2. 卯(place, location支的第four位) ; "
280,󲠧,1、放（牧）；2、（耕牧，庄稼）,"1. 放(牧) ; 2.  (plow, cultivate牧, crops)"
281,󲠨,（笛子）,（笛子）
282,󲠩,1、村落；2、城；3、（百姓、群众）,"1. 村fall, drop; 2. 城; 3,  (hundred姓, 群众)"
283,󲠪,闪（亮）,闪 (亮)
284,󲠫,仔鸡（未曾生蛋的小母鸡）,仔鸡 (未曾生蛋的小母鸡)
285,󲠬,胀,胀
286,󲠭,1、餐、顿（量词）；2、（彝族家支名,"1. 餐, 顿(量词) ; 2. （彝族家支名"
287,󲠮,踢（主动）,踢 (主动)
288,󲠯,抽打,抽打
289,󲠰,（未曾过崽的）母猪,(未曾过崽的) 母猪
290,󲠱,出（嫁）,出 (嫁)
291,󲠲,铅,铅
292,󲠳,1、（更加）；2、（草席）,1. (更加) ; 2.  (grass席)
293,󲠴,（跌跌撞撞，歪歪倒倒）,"（跌跌撞撞, 歪歪倒倒）"
294,󲠵,怜（悯）,怜 (悯)
295,󲠶,（兴）盛,(兴) 盛
296,󲠷,（形容词缀）,（形容词缀）
297,󲠸,1、狗；2、戌（地支的第十一位）,"1. 狗; 2. 戌 (place, location支的第tenone位)"
298,󲠹,（大后天）,"（big, large后sky, heaven）"
299,󲠺,射,射
300,󲠻,搂,"embrace, hug"
301,󲠼,（转嘎）,（转嘎）
302,󲠽,避免,避免
303,󲠾,搅、拌,"搅, 拌"
304,󲠿,1、和；2、（也许，可能）,"1. 和; 2.  (也许, 可能)"
305,󲡀,颤（动）,颤 (动)
306,󲡁,1、牛；2、丑；,"1. cow, ox; 2. 丑; "
307,󲡂,捋,捋
308,󲡃,大（小），长（幼）,"big, large(小) , 长 (young)"
309,󲡄,1、美丽；2、漂亮；,1. 美丽; 2. 漂亮; 
310,󲡅,把、给,"把, 给"
311,󲡆,减,减
312,󲡇,绞痛，酸痛,"绞痛, 酸痛"
313,󲡈,1、内，里；2、（坐下）；3、地名用词；,"1. 内, 里; 2. (坐descend, go down) ; 3, place name用词; "
314,󲡉,1、生命；2、脉（搏），（命）脉；,"1. 生命; 2. 脉(搏) , (命) 脉; "
315,󲡊,疟（疾）,疟 (疾)
316,󲡋,抖（掉）,抖 (掉)
317,󲡌,生（荒地）,"生 (荒place, location)"
318,󲡍,（锄头）,（hoe）
319,󲡎,喊,喊
320,󲡏,锥（动词）,锥 (动词)
321,󲡐,（插）柴,(插) 柴
322,󲡑,倾斜,"倾oblique, slanted"
323,󲡒,1、铁；2、地名用词,1. 铁; 2. place name用词
324,󲡓,水牛,"水cow, ox"
325,󲡔,仔（牛）,"仔 (cow, ox)"
326,󲡕,惊慌,"startle, shock慌"
327,󲡖,秸秆，干草,"秸秆, drygrass"
328,󲡗,（草垫、篾席）,"（grass垫, 篾席）"
329,󲡘,锋利,锋利
330,󲡙,跛,跛
331,󲡚,本（钱）,本 (钱)
332,󲡛,（伙）伴,(伙) accompany
333,󲡜,（一定的）数量,(one定的) 数量
334,󲡝,推动,推动
335,󲡞,诚实,诚实
336,󲡟,（奴）婢,(奴) 婢
337,󲡠,反（叛）,"反 (rebel, betray)"
338,󲡡,帐,帐
339,󲡢,鼻涕,鼻涕
340,󲡣,（田）埂,(田) 埂
341,󲡤,堆（量词）,堆 (量词)
342,󲡥,季（节）,季 (节)
343,󲡦,锁（边）,"锁 (edge, side)"
344,󲡧,1、（黄果）；2、（牛虻）；,"1. (黄果) ; 2. (cow, ox虻) ; "
345,󲡨,1、适应；2、地名用词；,1. 适应; 2. place name用词; 
346,󲡩,焖（饭）,焖 (饭)
347,󲡪,用餐毕,用餐毕
348,󲡫,追（问）,追 (问)
349,󲡬,密,密
350,󲡭,芒,芒
351,󲡮,1、陡峭；2、（先生；师傅）,1. 陡峭; 2.  (先生; 师傅)
352,󲡯,挖,挖
353,󲡰,（用手）掐,(用hand) 掐
354,󲡱,掐,掐
355,󲡲,（洞房）,（洞房）
356,󲡳,编（辫子）,编 (辫子)
357,󲡴,肥,肥
358,󲡵,佐餐、下（酒、饭）,"佐餐, descend, go down (wine, alcohol, 饭)"
359,󲡶,1、掉（下），落（下）；2、（澜沧江）；,"1. 掉(descend, go down) , fall, drop(descend, go down) ; 2. (澜沧江) ; "
360,󲡷,（麻痛）,"（hemp, numb痛）"
361,󲡸,（当然了）,（当然了）
362,󲡹,（丛很狭窄的地方）通过,"(cluster, grove很狭窄的place, locationsquare, direction) 通过"
363,󲡺,耳语,耳语
364,󲡻,󲡻󲫿（幽默、风趣、诙谐）,"󲡻󲫿 (幽默, 风趣, 诙谐)"
365,󲡼,1、（察觉）；2、（发现）；,1. (察觉) ; 2. (发现) ; 
366,󲡽,（白生生）,（白生生）
367,󲡾,（寄生茶）,（寄生茶）
368,󲡿,挺（肚子）,挺 (肚子)
369,󲢀,柜,柜
370,󲢁,秃,秃
371,󲢂,（土）坎,(土) 坎
372,󲢃,（脊椎凹陷处）,（脊椎concave陷处）
373,󲢄,1、阴（天）；2、冬眠；,"1. 阴(sky, heaven) ; 2. 冬眠; "
374,󲢅,浅,浅
375,󲢆,拉（屎）,拉 (屎)
376,󲢇,不好,不好
377,󲢈,些,些
378,󲢉,1、阻挡，阻拦；2、堵截；,"1. 阻挡, 阻拦; 2. 堵截; "
379,󲢊,低，矮；,"低, 矮; "
380,󲢋,（盟誓）,（盟誓）
381,󲢌,1、丢（脸）；2、（象声词）；,1. 丢(脸) ; 2. (onomatopoeia) ; 
382,󲢍,1、（高兴得发狂）；2、（重叠词缀）；,1. (高兴得发狂) ; 2. (overlapping词缀) ; 
383,󲢎,（渣蓬蓬（形容树木枝叶繁茂）,"（dregs, residue蓬蓬 (形容树wood枝叶繁茂)"
384,󲢏,（重叠词缀）,（overlapping词缀）
385,󲢐,（角落）,"（角fall, drop）"
386,󲢑,（卧倒，倒下）,"（卧倒, 倒descend, go down）"
387,󲢒,1、衣（古语）；2、（彝语古部落名称）；3、（彝语古星星用词）；4、（汉族）；,"1. 衣(ancient saying) ; 2. (彝语古部fall, drop名称) ; 3, (彝语古starstar用词) ; 4, (汉族) ; "
388,󲢓,渐渐,渐渐
389,󲢔,1、泣；2、（形容词缀）；,1. 泣; 2. (形容词缀) ; 
390,󲢕,假,假
391,󲢖,有,有
392,󲢗,（楼）梯,(楼) 梯
393,󲢘,1、市镇；2（街道，场坝）,"1, 市镇; 2 (街道, 场坝)"
394,󲢙,和平,和平
395,󲢚,（鸟）鸣叫,(鸟) 鸣叫
396,󲢛,搂,"embrace, hug"
397,󲢜,胜,胜
398,󲢝,歪斜,"歪oblique, slanted"
399,󲢞,柚栗子（一种灌木，生长在高寒山区）,"柚栗子 (one种灌wood, 生长在高cold山district, area)"
400,󲢟,掺和,掺和
401,󲢠,肥料，粪,"肥料, 粪"
402,󲢡,弓,弓
403,󲢢,（人命）债,"(person, people命) 债"
404,󲢣,1、手下；2、（管辖，辖区）,"1. handdescend, go down; 2.  (tube, pipe辖, 辖district, area)"
405,󲢤,1、日；2、太阳；3、（福禄、福禄神）；4、（东方）；,"1. 日; 2. 太阳; 3, (福禄, 福禄神) ; 4, (东square, direction) ; "
406,󲢥,投降,"投fall, drop"
407,󲢦,炉、堆（量词）,"炉, 堆 (量词)"
408,󲢧,凸；突出,凸; 突出
409,󲢨,1、（祖）宗；2、祖灵，（祖宗的）神位；,"1. (祖) 宗; 2. 祖灵, (祖宗的) 神位; "
410,󲢩,睡（醒）,睡 (醒)
411,󲢪,闲,闲
412,󲢫,（祭祀用的）猪,(祭祀用的) 猪
413,󲢬,制作,制作
414,󲢭,佩服,佩服
415,󲢮,（胡椒）,（胡椒）
416,󲢯,谁人,"谁person, people"
417,󲢰,印（动词）,印 (动词)
418,󲢱,恩情,恩情
419,󲢲,柜子,柜子
420,󲢳,头、只、根、条、课（量词）,"头, 只, 根, strip, item, 课 (量词)"
421,󲢴,1、皮壳；2、（花生）；,1. 皮壳; 2. (花生) ; 
422,󲢵,（山）谷,(山) 谷
423,󲢶,1、（自然成）团；2、团结,1. (自然成) 团; 2. 团结
424,󲢷,上（状态动词）,"上 (state, condition动词)"
425,󲢸,1、（政令，政策）；2、人名用词；,"1. (政令, 政策) ; 2. person, people名用词; "
426,󲢹,1、花（动词）；2、花斑,1. 花(动词) ; 2. 花斑
427,󲢺,处、圈（量词）,"处, 圈 (量词)"
428,󲢻,（蓑衣）,（蓑衣）
429,󲢼,重字,重字
430,󲢽,1、仇，敌；2、打仗；,"1. 仇, 敌; 2. 打仗; "
431,󲢾,磨损,磨损
432,󲢿,门,门
433,󲣀,放，转,"放, 转"
434,󲣁,1、借（要还原物）；2、（无须）,"1. 借(要还原object, thing) ; 2.  (无须)"
435,󲣂,搬移,搬移
436,󲣃,（祭）献,(祭) 献
437,󲣄,1、下子；2、会儿；,"1. descend, go down子; 2. 会儿; "
438,󲣅,织,织
439,󲣆,古，先，前,"古, 先, 前"
440,󲣇,1、（野猫）；2、（黄鼠狼）；,1. (野猫) ; 2. (黄鼠wolf) ; 
441,󲣈,又,又
442,󲣉,噢（应允声）,噢 (应允声)
443,󲣊,印章,印章
444,󲣋,将要,将要
445,󲣌,（丧祭歌）,（丧祭歌）
446,󲣍,玻（璃）,玻 (璃)
447,󲣎,（奉养）,（奉养）
448,󲣏,（用嘴）拱,(用嘴) 拱
449,󲣐,堆（动词）,堆 (动词)
450,󲣑,（芦苇）,（芦苇）
451,󲣒,1、锅；2、锅（量词）；,1. 锅; 2. 锅(量词) ; 
452,󲣓,1、掷，瘊（子）；2、肉瘤；,"1. 掷, 瘊(子) ; 2. 肉瘤; "
453,󲣔,1、空；2、零；,1. 空; 2. 零; 
454,󲣕,1、对（正）；2、对（准）；,1. 对(正) ; 2. 对(准) ; 
455,󲣖,梯（量词）,梯 (量词)
456,󲣗,（毛）发,"(hair, wool) 发"
457,󲣘,可爱,可爱
458,󲣙,申报，禀报,"申报, 禀报"
459,󲣚,线索,"thread, line索"
460,󲣛,雇（工）,雇 (工)
461,󲣜,（顽皮，俏皮）,"（顽皮, 俏皮）"
462,󲣝,夜,夜
463,󲣞,（不好意思；难为情）,（不好意思; 难为情）
464,󲣟,逮（捕）,逮 (捕)
465,󲣠,缴纳,缴纳
466,󲣡,（架子猪（用作育肥的大猪））,"(架子猪 (用作育肥的big, large猪) )"
467,󲣢,短,短
468,󲣣,制造,制造
469,󲣤,（酒）曲,"(wine, alcohol) 曲"
470,󲣥,调拌，搅,"调拌, 搅"
471,󲣦,（牛奶）,"（cow, ox奶）"
472,󲣧,祭牲,祭牲
473,󲣨,麻风病,"hemp, numb风病"
474,󲣩,（摇）摆,(摇) 摆
475,󲣪,（豆）荚,(豆) 荚
476,󲣫,查认（字）,查认 (字)
477,󲣬,劈,劈
478,󲣭,干（动词）,dry (动词)
479,󲣮,1、（手）指；2、（脚）趾；,"1. (hand) point, indicate; 2. (脚) 趾; "
480,󲣯,收拢,收拢
481,󲣰,冷,cold
482,󲣱,移（栽）,移 (栽)
483,󲣲,霹雳,霹雳
484,󲣳,前（天）,"前 (sky, heaven)"
485,󲣴,耙（名词）,耙 (名词)
486,󲣵,结合,结合
487,󲣶,1、吓唬；2、吓跳；,1. 吓唬; 2. 吓跳; 
488,󲣷,1、（排行第二）；2、次；,1. (排行第two) ; 2. 次; 
489,󲣸,1、筛（子）；2、（篦子）；3、（织机篦）；,"1. 筛(子) ; 2. (篦子) ; 3, (织机篦) ; "
490,󲣹,麻烦,"hemp, numb烦"
491,󲣺,糟蹋,糟蹋
492,󲣻,嗜好,嗜好
493,󲣼,甄子,甄子
494,󲣽,（真理）,（真理）
495,󲣾,腾，挪,"腾, 挪"
496,󲣿,虎,虎
497,󲤀,顺利,顺利
498,󲤁,席（子）,席 (子)
499,󲤂,1、续断（中药名）；2、人名用词；,"1. 续断(中药名) ; 2. person, people名用词; "
500,󲤃,北,北
501,󲤄,糠,糠
502,󲤅,记，忆,"记, 忆"
503,󲤆,（灰尘）,"（ash, gray尘）"
504,󲤇,英勇、顽强,"英勇, 顽强"
505,󲤈,1、铺垫；2、（凳子）；,1. 铺垫; 2. (凳子) ; 
506,󲤉,痣,痣
507,󲤊,（城墙）,（城wall）
508,󲤋,（蚂蝗）,（蚂蝗）
509,󲤌,们,们
510,󲤍,1、薅；2、除草（拔除苗间的草）；,1. 薅; 2. 除grass(拔除苗间的grass) ; 
511,󲤎,泡（量词）,泡 (量词)
512,󲤏,拐骗（人）,"拐骗 (person, people)"
513,󲤐,男子汉,男子汉
514,󲤑,（苍蝇）,（苍蝇）
515,󲤒,隐瞒,隐瞒
516,󲤓,疗（疮）,疗 (疮)
517,󲤔,刺,刺
518,󲤕,（瞄准）,（瞄准）
519,󲤖,（和谐，和蔼）,"（和谐, 和蔼）"
520,󲤗,1、脏；2、臭；,1. 脏; 2. 臭; 
521,󲤘,1、笛子；2、（迷信中的捉鬼）,1. 笛子; 2.  (迷信中的捉鬼)
522,󲤙,压,压
523,󲤚,（脚趾被）碰,(脚趾被) 碰
524,󲤛,榫头,榫头
525,󲤜,青年,青年
526,󲤝,出（事故）,出 (事故)
527,󲤞,秋,秋
528,󲤟,折叠,折叠
529,󲤠,难,难
530,󲤡,快,快
531,󲤢,敏捷,敏捷
