0xf222e	󲈮	󳤣|󐁥󲐀，󲊂󐁥󲐀
0xf272e	󲜮	是通用彝文字符 unicode 0xf272e 滇川黔桂彝文|ocean
0xf272f	󲜯	precious sword|precious sword in Yi script is
0xf2730	󲜰	brave|是通用彝文字符 unicode 0xf2730 滇川黔桂彝文
0xf2731	󲜱	󳅹󲴳󲲫󳐉󲾞󳋶󳆣󲰦󲳥󲽑󲣣|sing in Yi script is  (唱).
0xf2732	󲜲	的意思是（马拴着）放牧（(horse拴着) 放牧）。|󲭠󳂔󲱩󲬥󳘈󲱏
0xf2733	󲜳	󲯾󳒖󲸐󲶏󲞿󳊠󳂶󲧰󲢐󲪱󳆡󲥶󳒓|是通用彝文字符 unicode 0xf2733 滇川黔桂彝文
0xf2734	󲜴	1, (精细place, location) sew, st|󳍌󳉕󲳔󳙤󲦹󲰳󳛋󲼠󳍭󳇒󲝾󳌨󲠻
0xf2735	󲜵	love|1, heaven and earth; universes
0xf2736	󲜶	的意思是（地）区（(place, location) dis|󳖐󲳨󳈖󳅝󳅩󳙃󳎐󲽘󳔱
0xf2737	󲜷	ugly|heart, mind
0xf2738	󲜸	󲢷󳎑󲹚󲨻󲫟󳘂󲤷󲢤󲡐󳓾󲹒|ugly
0xf2739	󲜹	󳊨󳇔󲥹󳄄|means 乏 in chinese
0xf273a	󲜺	strand, share (量词)|󲞻󳖟 time valley star
0xf273b	󲜻	valley|󲰲󲪇󲰒󲤊󲦭󳅄󲢙󲧈󲸂
0xf273c	󲜼	offer, worship in Yi script is|的英文是offer, worship，中文是供奉。
0xf273d	󲜽	The Yi script for '总是' is ''. |总是用通用彝文写作「」。
0xf273e	󲜾	彝文 unicode:0xf273e 通用彝文字符集|󲢖󳈷󳋝󲭚󲷃󲬊󳀼󳄐󲹙󲯄󲭤󳙜
0xf273f	󲜿	彝文字符的中文含义是（斜）靠，英文含义是(oblique, |彝文 unicode:0xf273f 通用彝文字符集
0xf2740	󲝀	煞气 (旧时迷信说法)|是通用彝文字符 unicode 0xf2740 滇川黔桂彝文
0xf2741	󲝁	means 也 in chinese|（modal particle）
0xf2742	󲝂	󳋼󲿑󲸂󳜃󲹞󲼴󲫒󳊑󲤘󳎢󲸟󲨱󳕌󳌲|󲪽󳍿󲤴󳋽󳒱󳌮󲤽󳉒󲷍󲸏󳃰󳛈󳃎
0xf2743	󲝃	means 书 in chinese|呛 in Yi script is  (呛).
0xf2744	󲝄	ash, gray (color)|彝文字符的中文含义是灰（色），英文含义是ash, gray 
0xf2745	󲝅	的英文是shoulder blade，中文是胛骨。|是通用彝文字符 unicode 0xf2745 滇川黔桂彝文
0xf2746	󲝆	的意思是锄头（hoe）。|是通用彝文字符 unicode 0xf2746 滇川黔桂彝文
0xf2747	󲝇	The Yi script for '（嫩、青）草' is |󲠊󲼃󲷉󲺥󳄽󳖼󲝺󲯩󲴝󲨣󳋰󲬏󳗌󲽁
0xf2748	󲝈	的英文是吹嘘, 夸口，中文是吹嘘、夸口。|是通用彝文字符 unicode 0xf2748 滇川黔桂彝文
0xf2749	󲝉	危及, 威胁|危及、威胁用通用彝文写作「」。
0xf274a	󲝊	的意思是蝙蝠（bat）。|bat in Yi script is  (蝙蝠).
0xf274b	󲝋	means 二 in chinese|彝文 unicode:0xf274b 通用彝文字符集
0xf274c	󲝌	字符的词汇编号是2859。|钹用通用彝文写作「」。
0xf274d	󲝍	字符的词汇编号是2860。|的英文是bandit，中文是匪。
0xf274e	󲝎	research|research in Yi script is  (研究)
0xf274f	󲝏	彝文字符的中文含义是商议，英文含义是discuss, neg|的意思是商议（discuss, negotiate）。
0xf2750	󲝐	（onomatopoeia）|󳀵󲽕󳗞󳕼󲤙󲞃󲬻󲞙󲬜󳑨󲰾󲰧󲥤
0xf2751	󲝑	choose, select in Yi script is|是通用彝文字符 unicode 0xf2751 滇川黔桂彝文
0xf2752	󲝒	The Yi script for '蠕（动）' is ''|󳅚󲢜󲢰󲪫󳎸󲫇󲟓󲠟󳃣󲯶󲧯󲭈
0xf2753	󲝓	󲥶󲬃󲩬󲿑󳏽󳐏󳋍󲝐󳏡󲧯|是通用彝文字符 unicode 0xf2753 滇川黔桂彝文
0xf2754	󲝔	󲷒󳂒󲿣󲽗|The Yi script for '惬意草' is ''.
0xf2755	󲝕	是通用彝文字符 unicode 0xf2755 滇川黔桂彝文|󳙳󲶉󲼡󳛲󲫹󲟪󲳰󲤞
0xf2756	󲝖	earthworm|彝文字符的中文含义是土蚕子，英文含义是earthworm。
0xf2757	󲝗	system, institution in Yi scri|󳌁󲫄󲷱󳈲󲰎󲯥󳐦󳓎󲱓󳄨󳒀󲼏
0xf2758	󲝘	󳂙󳉦󲰮󲯣󲡌󳕇󳖅|󳔸󳛞󲳍󲹎󲹹󲵍󳜔󳖇󲤒󲨚󳑷󲳣
0xf2759	󲝙	彝文 unicode:0xf2759 通用彝文字符集|󲳔󳘖󲸿󲪾󲮫󲠤󲤶󳈩󲬞󲸄󲥚
0xf275a	󲝚	彝文「」的意思是「鹰」，英文是 eagle。|eagle in Yi script is  (鹰).
0xf275b	󲝛	是通用彝文字符 unicode 0xf275b 滇川黔桂彝文|means 亿 in chinese
0xf275c	󲝜	的英文是tube, pipe, tube, cylinder|tube, pipe, tube, cylinder
0xf275d	󲝝	「（递给东西的）发音词」的通用彝文是「」。|The Yi script for '（递给东西的）发音词'
0xf275e	󲝞	的英文是1. play; 2. play, fool aro|彝文字符的中文含义是1、玩；2、耍；，英文含义是1. pla
0xf275f	󲝟	󳗯󳐫󲸡󲞼󲶸󲧉󲟒󲣯󳂡󲼾󲯒󲯏|󲣱󳙫󲴾󲫊󲺃󲫆󳛻
0xf2760	󲝠	means 今 in chinese|󲽎󲸮󲹷󳋌󲯪󳖆
0xf2761	󲝡	彝文字符的中文含义是右，英文含义是right。|的英文是right，中文是右。
0xf2762	󲝢	weak|彝文字符的中文含义是凹，英文含义是concave。
0xf2763	󲝣	彝文字符的中文含义是认真，英文含义是serious, ear|The Yi script for '认真' is ''. 
0xf2764	󲝤	means 他 in chinese|time
0xf2765	󲝥	1、（绵羊）毛；2、棉；用通用彝文写作「」。|「1、（绵羊）毛；2、棉；」的通用彝文是「」。
0xf2766	󲝦	󲾍󲣞󲮠󳃔|的意思是蹲（squat, crouch）。
0xf2767	󲝧	的英文是wild onion (bitter garlic)|The Yi script for '野葱（苦蒜）' is 
0xf2768	󲝨	abundant, rich in Yi script is|abundant, rich
0xf2769	󲝩	󳌦󳒏󲝌󲰲󳋂󲵪󳇙󲝡󳂌󳈙󳀠󲮼|󲜣 love family
0xf276a	󲝪	编号2889对应彝文字符。|彝文 unicode:0xf276a 通用彝文字符集
0xf276b	󲝫	󳀴󳋔󳊡󲰶󳅹󲣿󲳾󲭌󲦁󳍘󲠈󲝱󲱌|hemp, numb (味) in Yi script is
0xf276c	󲝬	󲺻󳓮󳅾󲶓󲝓󳏋󲵖󲨈󳔪|󳕩󳇊󳇌󲭃󳖇󲳃󳆽󳒌󲩡󳊧
0xf276d	󲝭	字符的词汇编号是2892。|The Yi script for '像、相同' is ''
0xf276e	󲝮	彝文字符的词汇编号是2893。|ugly
0xf276f	󲝯	彝文字符的中文含义是晒，英文含义是dry in sun, e|󳖃󲿳󳈥󲷡󳂤󲞯󲭣󳍳󲻬󲡨
0xf2770	󲝰	字符的词汇编号是2895。|彝文 unicode:0xf2770 通用彝文字符集
0xf2771	󲝱	means 份 in chinese|彝文 unicode:0xf2771 通用彝文字符集
0xf2772	󲝲	彝文字符的中文含义是开（车），英文含义是drive, ope|󳑲󳊆󳚶󳙴󳜓󲞕󳕣󳃏󳋸󲭹󲳦󲞓󲴮
0xf2773	󲝳	的英文是smilax，中文是土茯苓。|󲽹󳂀󳓆󳈒󳒩󳔠󲿼󳕊󳎊󲾭
0xf2774	󲝴	彝文字符的中文含义是松弛，英文含义是loose, relax|loose, relaxed in Yi script is
0xf2775	󲝵	1. plow, cultivate; 2. crops (|「1、耕；2、庄稼（古语，耕牧）」的通用彝文是「」。
0xf2776	󲝶	󲠕󳄂󳆉󲴷󳊙󳗯󲟡󲥒󳑝|means 优 in chinese
0xf2777	󲝷	󳔬󲹷󲱜󲭔󲴞󲴺󲳼󳐞󳀕󲜺󲟞|󲿛󲻞󳂞󳀏󳅮󲻀󲪎󲪱󲡐󲝭󲹞󲲛󲾓
0xf2778	󲝸	编号2903对应彝文字符。|(powder) powder, end, face, su
0xf2779	󲝹	的意思是稗（barnyard grass）。|The Yi script for '稗' is ''. I
0xf277a	󲝺	󲲄󳐈󲫛󲷌󲱩󳈕󳀛󳒉󳒴󲞠󲭻󳕟󲦎󲞑|的英文是（形容词缀），中文是（形容词缀）。
0xf277b	󲝻	means 传 in chinese|的意思是流（星）（flow, stream (star)）。
0xf277c	󲝼	󲰙󳀔󲢳󲹅󲵻󲠸󲧘󳓹󲤣󳈰󳊌󲹦|是通用彝文字符 unicode 0xf277c 滇川黔桂彝文
0xf277d	󲝽	means 伯 in chinese|󲻹󳇝󲦾󲻯󳖴󲟆󳉥󲻑󲯒
0xf277e	󲝾	rise, get up疹子 in Yi script is|󳀝󲟭󳕑󳕄󳕁󳑛󳁗󲺽
0xf277f	󲝿	是通用彝文字符 unicode 0xf277f 滇川黔桂彝文|kind
0xf2780	󲞀	means 伶 in chinese|歧（视），鄙（视）用通用彝文写作「」。
0xf2781	󲞁	󳑺󲵟󳉆󳉗󲨏󳉩󳚪󲶫󲬾󲲰󲢇󲞪|light, quick
0xf2782	󲞂	survive, take root in Yi scrip|是通用彝文字符 unicode 0xf2782 滇川黔桂彝文
0xf2783	󲞃	彝文字符的中文含义是（溜）滑，英文含义是(slip, sli|means 但 in chinese
0xf2784	󲞄	是通用彝文字符 unicode 0xf2784 滇川黔桂彝文|󳃝󲝝󲝟󳊎󲧣󲬵󲜥󲯶󲷫󲱧
0xf2785	󲞅	的意思是传递（pass, transmit）。|means 低 in chinese
0xf2786	󲞆	的意思是恨（hate, resent）。|󲟢󲧝󲦾󲠳󳊃󲧯
0xf2787	󲞇	means 佐 in chinese|彝文 unicode:0xf2787 通用彝文字符集
0xf2788	󲞈	spider in Yi script is  (蜘蛛).|的英文是spider，中文是蜘蛛。
0xf2789	󲞉	󳍣󳆆󳗯󳃂󲪣󳒼󳓫󲵦󲺫󳈲󲽨󲤋󳔧|means 体 in chinese
0xf278a	󲞊	󳆏󳑦󲧡󲡐󳅝󲺍󲣙󲻴|是通用彝文字符 unicode 0xf278a 滇川黔桂彝文
0xf278b	󲞋	的英文是clean, sanitary，中文是清洁。|clean, sanitary in Yi script i
0xf278c	󲞌	󳉏󳑯󲲱󲹐󳏶󳀒󲩱󲱈󳀀󳕲󲻥󲺟󳘻|means 作 in chinese
0xf278d	󲞍	means 你 in chinese|󲾗󲻙󳗸󳃪󳆆󳑎󳊹󲿊󲦢󳏓󲶺󳚏󲪔
0xf278e	󲞎	字符的词汇编号是2925。|󲦂󲡿󳀌󲨁
0xf278f	󲞏	The Yi script for '水蒸气' is ''.|水蒸气用通用彝文写作「」。
0xf2790	󲞐	󲣨󲢰󳓂󳕤󳐤󲺑󲜳|rhinoceros (cow, ox)
0xf2791	󲞑	的英文是(hand) skillful, clever，中文|的意思是（手）巧（(hand) skillful, clev
0xf2792	󲞒	(person, people多) crowded in Y|彝文字符的中文含义是（人多）拥挤，英文含义是(person,
0xf2793	󲞓	的英文是add, increase，中文是增添。|add, increase
0xf2794	󲞔	The Yi script for '（重叠词缀）' is |means 侣 in chinese
0xf2795	󲞕	The Yi script for '箍' is ''. I|󳑲󳊆󳚶󳙴󳜓󳕣󳃏󳋸󲭹󲳦󲞓󲴮󲝲
0xf2796	󲞖	󳕣󲢾󳃱󳇢󲼹󲷮󲧈|沉淀object, thing in Yi script i
0xf2797	󲞗	󳛾󳓦󲷢󲽝󳋚|󳓔󲲌󲷍󳗸󲱨󲨷󲵈󲦖󲡐
0xf2798	󲞘	󳛋󳗏󲼠󳉑󳒕󲟱󳁠󲣶󲴤|彝文字符的中文含义是墙，英文含义是wall。
0xf2799	󲞙	embrace, hug (curl, roll)|是通用彝文字符 unicode 0xf2799 滇川黔桂彝文
0xf279a	󲞚	的英文是hemp, numbwood，中文是麻木。|󳚕󲴆󳌄󲪨󲾩󲱣󲻙󳇫󲸢
0xf279b	󲞛	「小跑，慢跑」的通用彝文是「」。|小跑，慢跑用通用彝文写作「」。
0xf279c	󲞜	是通用彝文字符 unicode 0xf279c 滇川黔桂彝文|1. lord, ruler; 2. person, peo
0xf279d	󲞝	的意思是条（strip, item）。|彝文字符的中文含义是条，英文含义是strip, item。
0xf279e	󲞞	means 保 in chinese|是通用彝文字符 unicode 0xf279e 滇川黔桂彝文
0xf279f	󲞟	(cow, ox犁) shoulder pole|The Yi script for '（牛犁）担' is '
0xf27a0	󲞠	cloud|是通用彝文字符 unicode 0xf27a0 滇川黔桂彝文
0xf27a1	󲞡	字符的词汇编号是2944。|(livestock在outdoors, wild) gra
0xf27a2	󲞢	的意思是谎（lie, falsehood）。|󲲻󲱚󲱩󲥹󲪴󲴧󲹴󲬖󲯶󲻦󳏠󲢃
0xf27a3	󲞣	1. armor, first(heavenly stem第|彝文 unicode:0xf27a3 通用彝文字符集
0xf27a4	󲞤	彝文「」的意思是「升」，英文是 rise, ascend。|的意思是升（rise, ascend）。
0xf27a5	󲞥	means 借 in chinese|󲻨󳇴󳓞󳋷󲫵󳑰󲨺󳌓󲼄󳐜󲶸󳊶
0xf27a6	󲞦	的意思是连接（connection）。|󳇴󲠣󲠩󲴜󳚋󲴘󳘫󳗡󳋫󲯮󲳰󳜣
0xf27a7	󲞧	󳀬󲢊󳘓󳄒󲬹󳌥󲥶󲽿󲷑󳛶󲜢 ancestors plant tr|是通用彝文字符 unicode 0xf27a7 滇川黔桂彝文
0xf27a8	󲞨	sickle in Yi script is  (镰刀).|是通用彝文字符 unicode 0xf27a8 滇川黔桂彝文
0xf27a9	󲞩	󳓡󲪌󳙥󳆖󳐆󲮛󳎽󳌻󲦆󳂋󲱈󳖾󳉜󲠵|󲟀󲧍󲥆󳉔󳅉󲶬󲽮󳃙󳄏󳙷󲣧󲢁󳒷󲟖
0xf27aa	󲞪	󳑺󲵟󳉆󳉗󲨏󳉩󳚪󲶫󲞁󲬾󲲰󲢇|彝文字符的中文含义是噗（象声词），英文含义是噗 (onoma
0xf27ab	󲞫	means 偏 in chinese|的意思是面（颊）（face, surface (cheek)
0xf27ac	󲞬	󲯻󳗡󳎗󳛾󳄁󳚾󲲘󳁇󳁠󳙦󲰖󲤚󳗚|decisive, resolute
0xf27ad	󲞭	的意思是天（sky, heaven）。|The Yi script for '天' is ''. I
0xf27ae	󲞮	是通用彝文字符 unicode 0xf27ae 滇川黔桂彝文|󳊵󳏫󲫖󲩱󳐀󲼮󳈨󲣦󲮪󳋋󳉒
0xf27af	󲞯	pierce, penetrate(衣)  (使动)|是通用彝文字符 unicode 0xf27af 滇川黔桂彝文
0xf27b0	󲞰	󳉌󳏜󲞊󳅍󳘙󲹩󲻜|king
0xf27b1	󲞱	的意思是（蚱蜢）（（grasshopper））。|means 偿 in chinese
0xf27b2	󲞲	The Yi script for '（板栗）' is ''|的英文是（chestnut），中文是（板栗）。
0xf27b3	󲞳	󲺆󳔍󲥸󳕴󳊪󲴪󲜮󳍻󲞍󳗢󲺁󲢄󲬣|󳅑󳀫󳛈󲶹󳛡󲭢󲽹󳗗
0xf27b4	󲞴	彝文 unicode:0xf27b4 通用彝文字符集|means 傣 in chinese
0xf27b5	󲞵	是通用彝文字符 unicode 0xf27b5 滇川黔桂彝文|󲾨 fast false
0xf27b6	󲞶	means 催 in chinese|编号2965对应彝文字符。
0xf27b7	󲞷	󲳔󳏀󲹰󳓮󳚥󲳟󳏖󳉥|moth
0xf27b8	󲞸	󳏅󲴷󲭫󳋮󲪻󲧨󲞑󲨐󲼖|descend, go down, fall, drop;
0xf27b9	󲞹	elder brother in Yi script is |的英文是elder brother，中文是兄。
0xf27ba	󲞺	是通用彝文字符 unicode 0xf27ba 滇川黔桂彝文|1. resist, support, top, suppo
0xf27bb	󲞻	是通用彝文字符 unicode 0xf27bb 滇川黔桂彝文|彝文字符的中文含义是害羞，英文含义是shy, bashful
0xf27bc	󲞼	󲵥󳁰󳏸󳉸󳑋󲱹󲤱󳚭󳂃󳇴󲟙󲻨|1. compete, fight for; 2. dist
0xf27bd	󲞽	的英文是bury (bury, inter)，中文是埋（葬）|󲨌󳕡󲡆󳏴󲠧󳖘󲽔󳇴󳅷󲢣󲰃󲺗󲥑
0xf27be	󲞾	就cluster, grove|是通用彝文字符 unicode 0xf27be 滇川黔桂彝文
0xf27bf	󲞿	󲯾󳒖󲸐󲶏󳊠󳂶󲧰󲢐󲪱󳆡󲥶󲜳󳒓|的意思是单、独（single, alone, alone, 
0xf27c0	󲟀	的意思是晃荡（sway, rock）。|means 兄 in chinese
0xf27c1	󲟁	搾（张开大拇指和中指两端的长度）用通用彝文写作「」。|󳆄󲴷󲯸󳉞󳃞
0xf27c2	󲟂	󲺡 water true|（魔芋）用通用彝文写作「」。
0xf27c3	󲟃	的意思是祖母，奶奶（grandmother, grandma|的英文是grandmother, grandma，中文是祖母
0xf27c4	󲟄	彝文 unicode:0xf27c4 通用彝文字符集|󲞕󲮾󲣑󳄟󳙡󳐵󳀓󲸤󲻅
0xf27c5	󲟅	的英文是pure, clean，中文是纯净。|纯净用通用彝文写作「」。
0xf27c6	󲟆	sew, stitch (动词)|是通用彝文字符 unicode 0xf27c6 滇川黔桂彝文
0xf27c7	󲟇	The Yi script for '络绎不绝' is ''|字符的词汇编号是2982。
0xf27c8	󲟈	small|是通用彝文字符 unicode 0xf27c8 滇川黔桂彝文
0xf27c9	󲟉	firegrass|的意思是火草（firegrass）。
0xf27ca	󲟊	是通用彝文字符 unicode 0xf27ca 滇川黔桂彝文|apply, smear, wipe, apply, app
0xf27cb	󲟋	的英文是big, large后sky, heaven，中文是|编号2986对应彝文字符。
0xf27cc	󲟌	󲽐󳌏󲤓󲧃󳒢󳔆󲞅󲟇󳆶󲠞󲰚󳌮|的英文是wide, broad，中文是宽。
0xf27cd	󲟍	彝文 unicode:0xf27cd 通用彝文字符集|的意思是祷告（pray）。
0xf27ce	󲟎	的意思是脱（落）（shed, fall off (fall,|「脱（落）」的通用彝文是「」。
0xf27cf	󲟏	的英文是young，中文是幼。|字符的词汇编号是2990。
0xf27d0	󲟐	源 in Yi script is  (源).|󳐈󲵖󳔝󲹕󲜒󳄻󳐓󳅝󲵼󲨍󳀪󲾤󲥘󲲈
0xf27d1	󲟑	是通用彝文字符 unicode 0xf27d1 滇川黔桂彝文|1、跟、随、伴；2、侍从，部下用通用彝文写作「」。
0xf27d2	󲟒	󲱰󳑤󲠊󳉰󲬟󳃫󳀹󲣛󲸪󲼰|是通用彝文字符 unicode 0xf27d2 滇川黔桂彝文
0xf27d3	󲟓	绞痛 in Yi script is  (绞痛).|󳅚󲢜󲢰󲪫󳎸󲫇󲝒󲠟󳃣󲯶󲧯󲭈
0xf27d4	󲟔	编号2995对应彝文字符。|是通用彝文字符 unicode 0xf27d4 滇川黔桂彝文
0xf27d5	󲟕	是通用彝文字符 unicode 0xf27d5 滇川黔桂彝文|forest
0xf27d6	󲟖	󳗩󲞱 wind space world|twist, wring, twist, turn (紧)
0xf27d7	󲟗	means 兽 in chinese|是通用彝文字符 unicode 0xf27d7 滇川黔桂彝文
0xf27d8	󲟘	彝文字符的中文含义是（睡）觉，英文含义是(睡) 觉。|󲣢󳊀󲯦󳄴󲮦󲳚󲽬󲨗󲳦
0xf27d9	󲟙	瞎|means 再 in chinese
0xf27da	󲟚	坐 in Yi script is  (坐).|是通用彝文字符 unicode 0xf27da 滇川黔桂彝文
0xf27db	󲟛	是通用彝文字符 unicode 0xf27db 滇川黔桂彝文|彝文 unicode:0xf27db 通用彝文字符集
0xf27dc	󲟜	󲮚󳅘󲞣󲹮󲫤󲳷󳉍|(菜) 刀
0xf27dd	󲟝	󲰻󳄉󳏘󲷻󳖽󲩖󳆖󲮂󳛛󳈘󲠣󳏃󳊄󲟭|声明 in Yi script is  (声明).
0xf27de	󲟞	󳔬󲹷󲱜󲭔󲴞󲴺󲳼󲝷󳐞󳀕󲜺|的意思是1、会；2、工匠（1. 会; 2. 工匠）。
0xf27df	󲟟	󲨁󲸞󲿠󳗅󳌾󳙸󳁘󲻵󲜩󳄌󲺢󳅪󳄉󲯝|是通用彝文字符 unicode 0xf27df 滇川黔桂彝文
0xf27e0	󲟠	的意思是威望（威望）。|󲨀󳃕󳈽󳅼󳊔󲫜󳐊󲤳󲟯󳕓
0xf27e1	󲟡	󲝶󲠕󳄂󳆉󲴷󳊙󳗯󲥒󳑝|的意思是绝（种）（绝 (种)）。
0xf27e2	󲟢	的英文是菜苔，中文是菜苔。|菜苔 in Yi script is  (菜苔).
0xf27e3	󲟣	彝文字符的中文含义是矛，英文含义是矛。|的意思是矛（矛）。
0xf27e4	󲟤	cold|grass果 in Yi script is  (草果).
0xf27e5	󲟥	ugly|彝文字符的中文含义是（词头）阿，英文含义是(词头) 阿。
0xf27e6	󲟦	（因）为用通用彝文写作「」。|The Yi script for '（因）为' is ''
0xf27e7	󲟧	means 净 in chinese|是通用彝文字符 unicode 0xf27e7 滇川黔桂彝文
0xf27e8	󲟨	means 准 in chinese|「（被高温汽水）熏烫」的通用彝文是「」。
0xf27e9	󲟩	突然|means 凉 in chinese
0xf27ea	󲟪	彝文 unicode:0xf27ea 通用彝文字符集|󲝕󳙳󲶉󲼡󳛲󲫹󲳰󲤞
0xf27eb	󲟫	彝文 unicode:0xf27eb 通用彝文字符集|󲵾󳅢󲪼󳉨󲰊󲶰󲢼󲵮󲠼󲽭
0xf27ec	󲟬	彝文 unicode:0xf27ec 通用彝文字符集|󲲉󲲘󲹯󲼙󲣸󳇚󳈡󳌬󳊁󳍲󳑓󲿄󲱨
0xf27ed	󲟭	means 几 in chinese|󳚫󳕮 water hot mind
0xf27ee	󲟮	(big, large口) 吃 in Yi script i|彝文字符的中文含义是（大口）吃，英文含义是(big, lar
0xf27ef	󲟯	󳙨󳜗󳒅󲶽󲬋󳑶󳋾󲼿󲨛󲥡󲿜󳆕|论(说） in Yi script is  (论(说）).
0xf27f0	󲟰	彝文字符的中文含义是雄性（泛指家畜），英文含义是male (|male (泛point, indicate家畜) in Y
0xf27f1	󲟱	1. 神位; 2. (肺) ;|1、神位；2、（肺）；用通用彝文写作「」。
0xf27f2	󲟲	󳙷󲩱󲺛󳂉󲭂󲹑󳍛󲞚󳛸󲿿|󳛎󳖥󳆿󳗖󳙌󲦘󲺊󲡼󲤖󲽀󲼐󳉪󳇡
0xf27f3	󲟳	戏弄, 逗乐|的英文是戏弄, 逗乐，中文是戏弄，逗乐。
0xf27f4	󲟴	是通用彝文字符 unicode 0xf27f4 滇川黔桂彝文|的英文是(wall壁的) 洞eye，中文是（墙壁的）洞眼。
0xf27f5	󲟵	可惜|󳁄 tree earth
0xf27f6	󲟶	means 击 in chinese|heart
0xf27f7	󲟷	means 凿 in chinese|heart
0xf27f8	󲟸	是通用彝文字符 unicode 0xf27f8 滇川黔桂彝文|彝文字符的中文含义是鸣、叫，英文含义是鸣, 叫。
0xf27f9	󲟹	泥土用通用彝文写作「」。|「泥土」的通用彝文是「」。
0xf27fa	󲟺	means 刃 in chinese|󳚢󳑾󲢜󲭪󲼍󳔕󳊁󲳟󲱝󳍜
0xf27fb	󲟻	彝文字符的中文含义是岩，英文含义是岩。|means 分 in chinese
0xf27fc	󲟼	的英文是分 (动词)，中文是分（动词）。|means 切 in chinese
0xf27fd	󲟽	󲰑 forest hot|的意思是责任（责任）。
0xf27fe	󲟾	傍晚 in Yi script is  (傍晚).|The Yi script for '傍晚' is ''. 
0xf27ff	󲟿	means 列 in chinese|瞄准用通用彝文写作「」。
0xf2800	󲠀	的意思是戳（戳）。|family
